HParams:
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	lr: 0.001
	mmd_gamma: 1.0
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.0
	weight_decay: 0.0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        penalty       step          step_time
0.8887936576  0.8694813545  0.8180746772  0.7931847407  0.2291744790  0.2241748821  12.685487759  0.3437195364  0.1536474228  0.0010982955  3700          0.0091057420
0.8930254982  0.8699099871  0.8226281674  0.7942563223  0.2334601168  0.2327475354  13.028338779  0.3335672352  0.1536474228  0.0010348389  3800          0.0092207980
0.8946860939  0.8643377625  0.8321637114  0.7936133733  0.2546740237  0.2541791685  13.371189800  0.3280205569  0.1536474228  0.0011443217  3900          0.0091652346
0.9026140990  0.8829832833  0.8140033214  0.8021860266  0.1450688381  0.1410201457  13.714040820  0.3244021244  0.1536474228  0.0011260238  4000          0.0091813469
0.9025069638  0.8664809258  0.8344136712  0.7953279040  0.2137997536  0.2098156880  14.056891841  0.3113767478  0.1536474228  0.0011763941  4100          0.0091768813
0.9083458324  0.8814830690  0.8313601543  0.7996142306  0.1764611346  0.1675953708  14.399742861  0.3128241394  0.1536474228  0.0014177458  4200          0.0091302156
0.9004178273  0.8609087012  0.8448599132  0.7929704243  0.2674237960  0.2666095156  14.742593882  0.3117814255  0.1536474228  0.0010799082  4300          0.0091825581
0.9093100493  0.8797685384  0.8366100605  0.7993999143  0.1771039803  0.1727389627  15.085444902  0.3058384584  0.1536474228  0.0009170591  4400          0.0091545582
0.9107563745  0.8669095585  0.8487705577  0.7961851693  0.2242995661  0.2228889841  15.428295923  0.2945590314  0.1536474228  0.0010975251  4500          0.0091810489
0.9166488108  0.8701243035  0.8557347190  0.8024003429  0.2222103177  0.2119588513  15.771146943  0.2999666119  0.1536474228  0.0010109674  4600          0.0092573047
0.9163809728  0.8666952422  0.8543418868  0.7948992713  0.2243531366  0.2207458208  16.113997964  0.2797409865  0.1536474228  0.0010926697  4700          0.0091961384
0.9241482751  0.8662666095  0.8636095784  0.7951135877  0.2151925858  0.2063866267  16.456848984  0.2750882792  0.1536474228  0.0010251714  4800          0.0093028545
0.9204521106  0.8686240892  0.8642524241  0.7918988427  0.2162639953  0.2014573511  16.799700005  0.2583551630  0.1536474228  0.0011018834  4900          0.0094928241
0.9204521106  0.8583369053  0.8669845181  0.7929704243  0.2561204264  0.2451778826  17.142551025  0.2549105339  0.1536474228  0.0011037533  5000          0.0099698806
