HParams:
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	lr: 0.001
	nonlinear_classifier: False
	penalty: 1000
	resnet18: False
	resnet_dropout: 0.0
	weight_decay: 0.0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        penalty       step          step_time
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  12.685487759  0.6930753654  0.3159971237  0.0074630175  3700          0.0469028449
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  13.028338779  0.6930404699  0.3159971237  0.0076621282  3800          0.0469068480
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  13.371189800  0.6930786324  0.3159971237  0.0077355112  3900          0.0468693686
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  13.714040820  0.6931060040  0.3159971237  0.0087517235  4000          0.0468326306
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  14.056891841  0.6931149346  0.3159971237  0.0077880574  4100          0.0468746471
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  14.399742861  0.6931094468  0.3159971237  0.0070157811  4200          0.0471215701
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  14.742593882  0.6931065816  0.3159971237  0.0072228552  4300          0.0468807006
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  15.085444902  0.6931073660  0.3159971237  0.0095718261  4400          0.0469332623
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  15.428295923  0.6931209230  0.3159971237  0.0074784919  4500          0.0468373132
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  15.771146943  0.6931062603  0.3159971237  0.0075140200  4600          0.0469056702
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  16.113997964  0.6931210488  0.3159971237  0.0076519153  4700          0.0469012690
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  16.456848984  0.6931053281  0.3159971237  0.0087850679  4800          0.0472907782
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  16.799700005  0.6931396848  0.3159971237  0.0074304784  4900          0.0512077403
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  17.142551025  0.6931190658  0.3159971237  0.0073661368  5000          0.0469966888
