HParams:
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	lr: 0.001
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.0
	weight_decay: 0.0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        step          step_time
0.9645382473  0.8388341192  0.9473402261  0.7743249036  0.2900841056  0.2968281183  24.342422456  0.1061303709  0.1710219383  7100          0.0120330667
0.9741268481  0.8364766395  0.9610006964  0.7747535362  0.2887448438  0.2732533219  24.685273477  0.0970426870  0.1710219383  7200          0.0105919266
0.9757338762  0.8435490784  0.9584828842  0.7766823832  0.2561204264  0.2445349336  25.028124497  0.0938345609  0.1710219383  7300          0.0108387971
0.9773944718  0.8328332619  0.9672148712  0.7663951993  0.2854770451  0.2865409344  25.370975518  0.0992753353  0.1710219383  7400          0.0122457981
0.9735376045  0.8392627518  0.9621256763  0.7728246892  0.3005303477  0.2914702100  25.713826538  0.0803569597  0.1710219383  7500          0.0103602505
0.9800728519  0.8480497214  0.9723576365  0.7809687098  0.2818878234  0.2715387913  26.056677559  0.0779433034  0.1710219383  7600          0.0122736907
0.9823762588  0.8469781397  0.9730004821  0.7798971282  0.2816199711  0.2704672096  26.399528579  0.0655158051  0.1710219383  7700          0.0122673416
0.9828583673  0.8371195885  0.9748218782  0.7771110159  0.2818878234  0.2702528933  26.742379600  0.0696031696  0.1710219383  7800          0.0109498882
0.9843582601  0.8467638234  0.9764825628  0.7798971282  0.2686023464  0.2571795971  27.085230620  0.0652825137  0.1710219383  7900          0.0111347675
0.9832333405  0.8405486498  0.9775539723  0.7758251179  0.2783521723  0.2676810973  27.428081641  0.0617067702  0.1710219383  8000          0.0122350740
0.9862866938  0.8399057008  0.9814110462  0.7801114445  0.2901912466  0.2696099443  27.770932661  0.0529310048  0.1710219383  8100          0.0111761427
0.9875187487  0.8448349764  0.9806610596  0.7820402915  0.2697808968  0.2573939134  28.113783682  0.0484592290  0.1710219383  8200          0.0109485030
0.9859652882  0.8394770682  0.9776611132  0.7820402915  0.2709058767  0.2608229747  28.456634703  0.0524212658  0.1710219383  8300          0.0104344988
0.9883758303  0.8512644664  0.9800182140  0.7811830261  0.2569775540  0.2486069438  28.799485723  0.0467656035  0.1710219383  8400          0.0109746718
0.9862866938  0.8296185169  0.9815717576  0.7730390056  0.3186907377  0.3092584655  29.142336744  0.0479728908  0.1710219383  8500          0.0105620241
0.9881615599  0.8405486498  0.9829110194  0.7768966995  0.2814592597  0.2706815259  29.485187764  0.0452034011  0.1710219383  8600          0.0107948756
0.9869830726  0.8216888127  0.9822681738  0.7700385769  0.2984946697  0.2897556794  29.828038785  0.0446705411  0.1710219383  8700          0.0108278894
0.9853760446  0.8480497214  0.9764289923  0.7773253322  0.2559061445  0.2464637805  30.170889805  0.0479469005  0.1710219383  8800          0.0110460901
0.9891793443  0.8424774968  0.9836074356  0.7741105872  0.2677987893  0.2558936991  30.513740826  0.0456413674  0.1710219383  8900          0.0106135511
0.9878401543  0.8431204458  0.9825895966  0.7747535362  0.2654952590  0.2623231890  30.856591846  0.0404247467  0.1710219383  9000          0.0104626846
0.9891793443  0.8281183026  0.9836610061  0.7736819546  0.2953875824  0.2824689241  31.199442867  0.0410656206  0.1710219383  9100          0.0104243779
0.9876794515  0.8287612516  0.9843574222  0.7728246892  0.3139229657  0.2989712816  31.542293887  0.0384777853  0.1710219383  9200          0.0115638041
0.9905185344  0.8482640377  0.9825895966  0.7796828118  0.2540847485  0.2411058723  31.885144908  0.0388765576  0.1710219383  9300          0.0110761499
0.9883222627  0.8300471496  0.9823217443  0.7698242606  0.2905126694  0.2828975568  32.227995928  0.0393637108  0.1710219383  9400          0.0125418782
0.9912684808  0.8420488641  0.9874109391  0.7820402915  0.2831199443  0.2732533219  32.570846949  0.0372644470  0.1710219383  9500          0.0125932717
0.9932504821  0.8469781397  0.9871966572  0.7831118731  0.2572454063  0.2479639949  32.913697969  0.0340586027  0.1710219383  9600          0.0112283349
0.9897150204  0.8356193742  0.9860716773  0.7738962709  0.2859591793  0.2741105872  33.256548990  0.0321258580  0.1710219383  9700          0.0117617917
0.9908399400  0.8407629661  0.9865538115  0.7775396485  0.2703166015  0.2524646378  33.599400010  0.0307461909  0.1710219383  9800          0.0103798962
0.9941611313  0.8386198028  0.9931429796  0.7749678526  0.2834949376  0.2601800257  33.942251031  0.0249746483  0.1710219383  9900          0.0105430937
0.9912149132  0.8437633948  0.9886430599  0.7824689241  0.2774414743  0.2715387913  34.285102051  0.0240612646  0.1710219383  10000         0.0104734826
0.9915898864  0.8334762109  0.9892859056  0.7696099443  0.2822092463  0.2663951993  34.627953072  0.0280136126  0.1710219383  10100         0.0106315136
0.9926612385  0.8407629661  0.9882144962  0.7749678526  0.2726201318  0.2653236177  34.970804092  0.0288111297  0.1710219383  10200         0.0105149865
0.9926076709  0.8371195885  0.9893394761  0.7788255465  0.2901376761  0.2743249036  35.313655113  0.0290194434  0.1710219383  10300         0.0104808617
0.9926076709  0.8366909559  0.9901430332  0.7715387913  0.2909948037  0.2839691384  35.656506133  0.0350064718  0.1710219383  10400         0.0103624892
0.9865545318  0.8302614659  0.9791610864  0.7736819546  0.2920126426  0.2861123018  35.999357154  0.0397383280  0.1710219383  10500         0.0103987217
0.9932504821  0.8354050579  0.9895537580  0.7708958423  0.2837092195  0.2760394342  36.342208174  0.0363522946  0.1710219383  10600         0.0104410076
0.9942146990  0.8469781397  0.9907858788  0.7749678526  0.2568704130  0.2471067295  36.685059195  0.0249966128  0.1710219383  10700         0.0104295707
0.9952324834  0.8379768538  0.9938929662  0.7760394342  0.2800664274  0.2691813116  37.027910215  0.0244765729  0.1710219383  10800         0.0107808733
0.9948575102  0.8448349764  0.9922322816  0.7753964852  0.2647988429  0.2543934848  37.370761236  0.0226509582  0.1710219383  10900         0.0108065748
0.9956610242  0.8321903129  0.9945358119  0.7674667810  0.3005839181  0.2867552508  37.713612256  0.0160875324  0.1710219383  11000         0.0106191373
0.9936254553  0.8480497214  0.9923929930  0.7822546078  0.2528526276  0.2411058723  38.056463277  0.0156850744  0.1710219383  11100         0.0102798104
0.9931969145  0.8279039863  0.9932501205  0.7674667810  0.3143515294  0.3047578225  38.399314298  0.0222078479  0.1710219383  11200         0.0103392458
0.9949646454  0.8465495071  0.9920179997  0.7783969138  0.2546740237  0.2423917703  38.742165318  0.0214532556  0.1710219383  11300         0.0106995916
