HParams:
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	lr: 0.001
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.0
	weight_decay: 0.0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        step          step_time
0.8961324191  0.8947706815  0.7967000589  0.8069009859  0.1077302191  0.1020145735  5.8284673488  0.3713016567  0.1710219383  1700          0.0104134417
0.8982215556  0.8954136305  0.7969143408  0.8073296185  0.1008731987  0.0960137162  6.1713183693  0.3641059548  0.1710219383  1800          0.0125603914
0.8981144204  0.8960565795  0.7967536294  0.8064723532  0.0992125141  0.0942991856  6.5141693898  0.3745972541  0.1710219383  1900          0.0119730139
0.8977394472  0.8960565795  0.7971821932  0.8069009859  0.1025874538  0.0957993999  6.8570204103  0.3629104272  0.1710219383  2000          0.0120702720
0.8973109064  0.8947706815  0.7970214818  0.8054007715  0.1040874270  0.0981568796  7.1998714309  0.3573545846  0.1710219383  2100          0.0125973177
0.8981679880  0.8958422632  0.7968607703  0.8060437205  0.0990518026  0.0949421346  7.5427224514  0.3594780250  0.1710219383  2200          0.0119197226
0.8885258196  0.8836262323  0.7967536294  0.8021860266  0.1504258853  0.1472353193  7.8855734719  0.3733073619  0.1710219383  2300          0.0120778871
0.8955967431  0.8921988856  0.7973964751  0.8051864552  0.1191407296  0.1146592370  8.2284244924  0.3571499904  0.1710219383  2400          0.0115615320
0.8901328477  0.8857693956  0.7988964483  0.8021860266  0.1533722612  0.1510930133  8.5712755129  0.3621894714  0.1710219383  2500          0.0117233753
0.8985429612  0.8941277325  0.7964322066  0.8062580369  0.1019981786  0.0972996142  8.9141265335  0.3567711525  0.1710219383  2600          0.0106931877
0.8965073923  0.8930561509  0.7975036160  0.8060437205  0.1209085552  0.1178739820  9.2569775540  0.3474083109  0.1710219383  2700          0.0103961754
0.8902935505  0.8887698243  0.8000749987  0.8032576082  0.1526222746  0.1534504929  9.5998285745  0.3558692387  0.1710219383  2800          0.0104922462
0.8963466895  0.8915559366  0.7994857235  0.8066866695  0.1310869449  0.1288041149  9.9426795950  0.3635571368  0.1710219383  2900          0.0104396129
0.8979001500  0.8932704672  0.7998607168  0.8090441492  0.1187121659  0.1161594514  10.285530615  0.3585109606  0.1710219383  3000          0.0103836656
0.8940968502  0.8812687527  0.8019499652  0.8030432919  0.1464616703  0.1397342477  10.628381636  0.3640427503  0.1710219383  3100          0.0103233576
0.8996143133  0.8958422632  0.7993785825  0.8064723532  0.1105158836  0.1084440634  10.971232656  0.3392049927  0.1710219383  3200          0.0103535438
0.8982215556  0.8874839263  0.8025928108  0.8043291899  0.1286762736  0.1221603086  11.314083677  0.3573523954  0.1710219383  3300          0.0103548121
0.8816691665  0.8660522932  0.8009321262  0.7936133733  0.2134247603  0.2098156880  11.656934697  0.3502846876  0.1710219383  3400          0.0103426218
0.8709020784  0.8486926704  0.8042534955  0.7873981997  0.2934054749  0.2861123018  11.999785718  0.3561010769  0.1710219383  3500          0.0110820746
0.8989715020  0.8887698243  0.8021106766  0.8034719246  0.1171050517  0.1142306044  12.342636738  0.3430584572  0.1710219383  3600          0.0118770885
0.8925969574  0.8750535791  0.8102533883  0.8002571796  0.1932822628  0.1883840549  12.685487759  0.3524742344  0.1710219383  3700          0.0106913757
0.8927040926  0.8741963138  0.8118069320  0.7948992713  0.2028713773  0.1980282898  13.028338779  0.3446376541  0.1710219383  3800          0.0104230499
0.8863831155  0.8602657523  0.8144854556  0.7923274754  0.2450313387  0.2451778826  13.371189800  0.3420272197  0.1710219383  3900          0.0116664767
0.8992393400  0.8846978140  0.8088069856  0.8030432919  0.1320512134  0.1290184312  13.714040820  0.3348619162  0.1710219383  4000          0.0110355425
0.8932397686  0.8651950279  0.8171104087  0.7944706387  0.2105319548  0.2098156880  14.056891841  0.3260985282  0.1710219383  4100          0.0110596848
0.9001499893  0.8797685384  0.8200567847  0.7996142306  0.1658541812  0.1611658808  14.399742861  0.3293309012  0.1710219383  4200          0.0123411775
0.8999892865  0.8729104158  0.8235388654  0.7991855979  0.2017999679  0.1954564938  14.742593882  0.3290442912  0.1710219383  4300          0.0119871688
0.9034711806  0.8846978140  0.8137354690  0.8032576082  0.1297476831  0.1262323189  15.085444902  0.3317736788  0.1710219383  4400          0.0108172512
0.9026676666  0.8699099871  0.8274495098  0.7942563223  0.1870680881  0.1806686670  15.428295923  0.3147527720  0.1710219383  4500          0.0113311028
0.9077565888  0.8729104158  0.8340922484  0.7970424346  0.1896930412  0.1873124732  15.771146943  0.3238639036  0.1710219383  4600          0.0109087729
0.9079172916  0.8767681097  0.8317351476  0.7961851693  0.1772111212  0.1785255036  16.113997964  0.3079957987  0.1710219383  4700          0.0111847162
0.9125241054  0.8744106301  0.8406814164  0.7998285469  0.1833717255  0.1785255036  16.456848984  0.3055190338  0.1710219383  4800          0.0111038208
0.9114527534  0.8709815688  0.8436277924  0.7927561080  0.2056034714  0.2008144021  16.799700005  0.2890715064  0.1710219383  4900          0.0109972954
0.9106492393  0.8645520789  0.8494669738  0.7916845264  0.2183532437  0.2166738105  17.142551025  0.2868499957  0.1710219383  5000          0.0112359786
